Title,Author,Publish Date,Publisher,Description,url,TitleScore
5 Things to Watch in Results From Pennsylvania’s Special Election,Joshua Jamerson,2018-03-13T09:59:32Z,The Wall Street Journal,The race between Democrat Conor Lamb and Republican Rick Saccone for a U.S. House seat amounts to the biggest taste of voter sentiment so far this year.,https://blogs.wsj.com/washwire/2018/03/13/capital-journal-tuesday-8/,
Goldman Pushes Past Trading Roots,,2018-03-12T23:59:47Z,The Wall Street Journal,"Goldman Pushes Past Trading Roots David Solomon became the heir apparent at Goldman Sachs Group Inc. Monday after his main rival for the top job abruptly resigned, moves that show the Wall Street powerhouse is continuing to move beyond its trading roots. Gold…",http://online.wsj.com/article/SB20053721253826474326804584097180460822064.html?mod=rss_Page_One,
Lawrence Kudlow Being Considered for Top White House Economic Post,Michael C. Bender,2018-03-12T19:21:15Z,The Wall Street Journal,"Top White House officials have reached out to gauge Lawrence Kudlow’s interest in becoming President Trump’s top economic adviser, and the CNBC commentator was expected to interview for the position as soon as this week, people familiar with the discussion sa…",https://www.wsj.com/articles/lawrence-kudlow-being-considered-for-top-white-house-economic-post-1520881537,
"WSJ City PM: Solomon in Line for Goldman Throne, Reassessing Goldilocks, Dropbox Sets Its Price",Mischa Frankl-Duval,2018-03-12T15:50:18Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY Goldman Sach…",https://blogs.wsj.com/moneybeat/2018/03/12/wsj-city-pm-goldman-gives-clue-over-next-executive-fund-managers-cool-on-risk-dropbox-sets-7-4-billion-target-for-ipo/,
Goldman Sachs Puts David Solomon in Line to Be Next CEO - Wall Street Journal,Liz Hoffman,2018-03-12T13:27:05Z,The Wall Street Journal,Wall Street Journal Goldman Sachs Puts David Solomon in Line to Be Next CEO Wall Street Journal David Solomon will become the sole operating chief and president at Goldman Sachs after Harvey Schwartz steps down next month. Photo: David Paul Morris/Bloomberg N…,https://www.wsj.com/articles/goldman-president-co-chief-operating-officer-harvey-m-schwartz-to-retire-1520860489,
"Stocks to Watch: Goldman Sachs, Broadcom, Intel, Micron, DowDuPont, Take-Two, Oclaro, Pfizer",Amrith Ramkumar,2018-03-12T13:23:51Z,The Wall Street Journal,"Among the companies with shares expected to trade actively in Monday's session are Broadcom, Intel, Micron, DowDuPont and Take-Two Interactive.",https://blogs.wsj.com/moneybeat/2018/03/12/stocks-to-watch-goldman-sachs-broadcom-intel-micron-dowdupont-take-two-oclaro-pfizer/,
White House Considers Liddell to Succeed Cohn,Michael C. Bender,2018-03-11T01:34:27Z,The Wall Street Journal,"Former Microsoft and General Motors executive Chris Liddell, who has the backing of White House senior adviser Jared Kushner, is among those being considered to succeed Gary Cohn as head of the National Economic Council, according to people familiar with the …",https://www.wsj.com/articles/chris-liddell-under-consideration-to-succeed-gary-cohn-at-white-house-1520730645,
Goldman Chief Plots Exit After Long Run,,2018-03-10T00:32:36Z,The Wall Street Journal,"Lloyd Blankfein is preparing to step down as Goldman Sachs Group Inc.’s chief executive as soon as the end of the year, capping a more than 12-year run that has made him one of the longest-serving bosses on Wall Street.",http://online.wsj.com/article/SB22008635076439604245104584089491434195378.html?mod=rss_Page_One,
What Will Determine Blankfein's Legacy,Aaron Back,2018-03-09T18:57:51Z,The Wall Street Journal,"One Wall Street debate, which is still to be settled, may decide how Lloyd Blankfein’s leadership of Goldman Sachs is ultimately judged.",https://www.wsj.com/articles/what-will-determine-lloyd-blankfeins-legacy-at-goldman-sachs-1520621869,
"WSJ City PM: Blankfein Prepares to Exit Goldman, US Jobs Should Keep Fed on Track, What Happens When the ECB Music Stops",Mischa Frankl-Duval,2018-03-09T17:09:27Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY Lloyd Blankf…",https://blogs.wsj.com/moneybeat/2018/03/09/wsj-city-pm-blankfein-prepares-to-step-down-us-jobs-beat-expectations-what-happens-when-the-ecb-music-stops/,
Blankfein Prepares Exit at GOLDMAN SACHS...,Liz Hoffman,2018-03-09T17:01:28Z,The Wall Street Journal,"Lloyd Blankfein is preparing to step down as Goldman Sachs’s chief executive as soon as the end of the year, capping a more-than 12-year run that has made him one of the longest-serving bosses on Wall Street.",https://www.wsj.com/articles/lloyd-blankfein-prepares-to-exit-goldman-sachs-as-soon-as-years-end-1520613681,
Goldman CEO to step down this year,"Joann S. Lublin, Liz Hoffman",2018-03-09T16:54:51Z,The Wall Street Journal,Lloyd Blankfein is preparing to step down as Goldman Sachs Group Inc.’s chief executive as soon as the end of the year,https://www.wsj.com/articles/lloyd-blankfein-prepares-to-exit-goldman-sachs-as-soon-as-years-end-1520613681?reflink=e2twmkts,
Trump Brings Republicans to Moment of Truth on Trade,Gerald F. Seib,2018-03-08T14:32:06Z,The Wall Street Journal,President Donald Trump’s plan to impose tariffs on imported aluminum and steel brings the Republican party to a moment of truth on an economic policy divide between globalism and populism.,https://www.wsj.com/articles/trump-brings-republicans-to-moment-of-truth-on-trade-1520519118,
Big Bank Custody Fight,The Editorial Board,2018-03-08T00:22:27Z,The Wall Street Journal,A Senate bill includes a sneaky reduction in capital rules.,https://www.wsj.com/articles/big-bank-custody-fight-1520467525,
Univision Board Considers Replacing CEO Randy Falco,Shalini Ramachandran,2018-03-08T00:10:01Z,The Wall Street Journal,"Univision Communications Inc.’s board is exploring the possibility of replacing Chief Executive Randy Falco and undertaking a business review that could lead to severe cost cuts, according to people familiar with the matter.",https://www.wsj.com/articles/univision-board-considers-replacing-ceo-randy-falco-1520467488,
Trump Revives 'The Apprentice',Daniel Henninger,2018-03-07T23:38:45Z,The Wall Street Journal,"If the tariffs cost jobs, Joe Biden will ask every laid-off worker: Who got you fired?",https://www.wsj.com/articles/trump-revives-the-apprentice-1520465923,
Cohn's Exit Leaves Big Economic Policy Shoes to Fill,Nick Timiraos,2018-03-07T23:23:19Z,The Wall Street Journal,Gary Cohn’s resignation from his post as director of the National Economic Council leaves a big opening in President Donald Trump’s economic team that could be a challenge to fill.,https://www.wsj.com/articles/cohns-exit-leaves-big-economic-policy-shoes-to-fill-1520464996,
Congressional Republicans Lament Loss of Free-Trade Ally in White House,Kristina Peterson,2018-03-07T16:16:18Z,The Wall Street Journal,Republicans in Congress who viewed Gary Cohn as their best ally in efforts to steer President Donald Trump away from a protectionist trade policy lamented his departure.,https://www.wsj.com/articles/congressional-republicans-lament-loss-of-free-trade-ally-in-white-house-1520439104,
Gary Cohn Exits White House After Battle Between Nationalists and Globalists,Joshua Jamerson,2018-03-07T12:24:31Z,The Wall Street Journal,News and analysis from WSJ's Washington bureau,https://blogs.wsj.com/washwire/2018/03/07/capital-journal-185/,
"Big Oil Unbothered by Peak Oil Demand, but Mulling Trade War—Energy Journal",Neanda Salvaterra,2018-03-07T12:17:14Z,The Wall Street Journal,Executives Worry U.S. Tariffs on Steel Imports Could Hurt the Oil Industry,https://blogs.wsj.com/moneybeat/2018/03/07/energy-journal-big-oil-unbothered-by-peak-oil-demand-but-mulling-trade-war/,
Gary Cohn Resigns as White House Economic Adviser After Losing Tariffs Fight,Rebecca Ballhaus,2018-03-06T22:52:47Z,The Wall Street Journal,"Gary Cohn will resign as director of the National Economic Council and a top economic adviser to President Donald Trump, an official says.",https://www.wsj.com/articles/gary-cohn-to-resign-as-president-trumps-economic-adviser-1520376157,
Trump Defends West Wing Turnover: 'I Like Conflict',Rebecca Ballhaus,2018-03-06T22:49:11Z,The Wall Street Journal,"President Donald Trump on Tuesday described West Wing conflict as beneficial to his decision-making process and said “everybody” wants to work on his staff, dismissing suggestions the administration was in turmoil after the departure of several senior aides i…",https://www.wsj.com/articles/trump-defends-west-wing-turnover-i-like-conflict-1520375738,
Fund Managers Are Cooling on Tech Stocks,Chelsey Dulaney,2018-03-06T13:56:22Z,The Wall Street Journal,"Some fund managers are cooling on technology stocks, a rare blip in investors' yearslong love affair with the high-flying sector.",https://blogs.wsj.com/moneybeat/2018/03/06/fund-managers-are-cooling-on-tech-stocks/,
Marriott Employee Roy Jones Hit 'Like.' Then China Got Mad,Wayne Ma,2018-03-03T17:32:20Z,The Wall Street Journal,"After one ‘like’ of a tweet from a Tibetan separatist group while he was running Marriott International Inc.’s rewards-program Twitter account, Roy Jones found himself out of a job.",https://www.wsj.com/articles/marriott-employee-roy-jones-hit-like-then-china-got-mad-1520094910,
Gary Cohn's Future Unclear After Setback on Tariffs - Wall Street Journal,Peter Nicholas,2018-03-03T00:12:04Z,The Wall Street Journal,"Wall Street Journal Gary Cohn's Future Unclear After Setback on Tariffs Wall Street Journal Gary Cohn, a former Goldman Sachs executive, is a top official in a so-called globalist wing of the White House that was outflanked on the tariffs by an ascendant prot…",https://www.wsj.com/articles/gary-cohns-future-unclear-after-setback-on-tariffs-1520035910,
Is Warren Buffett Too Big to Beat the Market?,Jason Zweig,2018-03-02T16:55:54Z,The Wall Street Journal,It's gotten harder even for Warren Buffett to outperform the market. Why should it be easy for other investors?,https://blogs.wsj.com/moneybeat/2018/03/02/is-warren-buffett-too-big-to-beat-the-market/,
Tone-Deaf: How Facebook Misread America's Mood on Russia,Deepa Seetharaman,2018-03-02T15:58:37Z,The Wall Street Journal,"The social-media giant played down allegations Russia exploited its platform during the 2016 elections, deepening perceptions that its leaders are oblivious to public concern about its social impact. The reaction has exacerbated a brewing backlash against man…",https://www.wsj.com/articles/tone-deaf-how-facebook-misread-americas-mood-on-russia-1520006034,
