Title,Author,Publish Date,Publisher,Description,url
Two Can Play at Trade War - Wall Street Journal,The Editorial Board,2018-04-02T22:34:00Z,The Wall Street Journal,"Wall Street Journal Two Can Play at Trade War Wall Street Journal Duroc pigs feed on a small farm in Woodward, Iowa in 2014. Photo: juliette michel/Agence France-Presse/Getty Images. By. The Editorial Board. The Editorial Board. The Wall Street Journal. Biogr…",https://www.wsj.com/articles/two-can-play-at-trade-war-1522708490
Tech Bonds Outperform While Stocks Fall - Wall Street Journal,Sam Goldfarb,2018-04-02T18:10:42Z,The Wall Street Journal,"Wall Street Journal Tech Bonds Outperform While Stocks Fall Wall Street Journal Technology stocks fell again Monday, but the sector has fared relatively well recently in the bond market—a signal that there has been more concern about the growth prospects of t…",https://www.wsj.com/articles/tech-bonds-outperform-while-stocks-fall-1522692578
Technology Shares Plunge Again Amid Growing Backlash - Wall Street Journal,Akane Otani,2018-04-02T17:31:18Z,The Wall Street Journal,"Wall Street Journal Technology Shares Plunge Again Amid Growing Backlash Wall Street Journal “In general tech is still growing earnings at an incredible pace, and we've created lots of opportunity for buyers,” said Art Hogan, managing director and chief marke…",https://www.wsj.com/articles/technology-shares-plunge-again-amid-growing-backlash-1522689491
Options Investors Brace For Plunge in Tesla Stock,Gunjan Banerji,2018-04-02T17:30:34Z,The Wall Street Journal,"Tesla shares just finished the worst month in more than seven years. Now, options traders are gearing for more turbulence.",https://blogs.wsj.com/moneybeat/2018/04/02/options-investors-brace-for-plunge-in-tesla-stock/
Mark Zuckerberg Fires Back After Tim Cook Critique,Imani Moise,2018-04-02T16:31:42Z,The Wall Street Journal,"Facebook Chief Executive Mark Zuckerberg shot back at Apple CEO Tim Cook’s critiques of his company, writing them off as “not aligned with the truth.”",https://www.wsj.com/articles/mark-zuckerberg-fires-back-after-tim-cook-critique-1522686239
Spotify's Daniel Ek: From the Music Industry's Slayer to Its Savior,Maureen Farrell,2018-04-02T16:15:50Z,The Wall Street Journal,"As Spotify is about to go public, CEO Daniel Ek faces the daunting task of making his company profitable while fending off streaming competition from tech giants such as Apple, Alphabet’s Google and Amazon.com.",https://www.wsj.com/articles/spotify-ceo-daniel-ek-once-the-music-industrys-slayer-now-its-savior-1522661400
The Morning Ledger: US – China Trade War Escalates - Wall Street Journal (blog),Tatyana Shumsky,2018-04-02T11:14:48Z,The Wall Street Journal,"Wall Street Journal (blog) The Morning Ledger: US – China Trade War Escalates Wall Street Journal (blog) Sign up for the Morning Ledger, emailed to you each weekday morning. Follow us on Twitter: @CFOJournal. All CFO Journal-produced content can be accessed w…",https://blogs.wsj.com/cfo/2018/04/02/the-morning-ledger-u-s-china-trade-war-escalates/
Silicon Valley Rivals Take Shots at Facebook,Yoree Koh,2018-04-01T15:32:55Z,The Wall Street Journal,"Facebook Inc. is battling a backlash from lawmakers, regulators and users on multiple continents. Some of the sharpest criticism is coming from close to home: Silicon Valley rivals.",https://www.wsj.com/articles/silicon-valley-rivals-take-shots-at-facebook-1522595763
Spotify's Unspoken Promise: A Different Business - Wall Street Journal,Stephen Wilmot,2018-03-31T14:00:22Z,The Wall Street Journal,Wall Street Journal Spotify's Unspoken Promise: A Different Business Wall Street Journal Spotify's unspoken promise to investors is to take on the big record labels that supply it with music. Chief Executive Daniel Ek better be good at cultivating frenemies. …,https://www.wsj.com/articles/spotifys-unspoken-promise-a-different-business-1522504800
"How Apple, Amazon and Others Are Trying to Gain on Spotify",Anne Steele,2018-03-31T11:00:12Z,The Wall Street Journal,"Spotify, the Swedish company set to go public next week, is the global leader in music streaming, but several competitors are working to differentiate their service to win over artists and listeners.",https://www.wsj.com/articles/how-apple-amazon-and-others-are-trying-to-gain-on-spotify-1522494000
Foxconn Profit Up As iPhone Production Glitches Fade,Yoko Kubota,2018-03-30T15:12:09Z,The Wall Street Journal,"Foxconn Technology posted a better-than-expected 4% rise in fourth-quarter net profit, bouncing back after its biggest customer Apple overcame earlier production troubles for the iPhone X.",https://www.wsj.com/articles/foxconn-profit-up-as-iphone-productionglitches-fade-1522422727
Why Would Walmart Want to Buy an Insurer? The Retail Squeeze - Wall Street Journal,Sarah Nassauer,2018-03-30T12:28:00Z,The Wall Street Journal,"Wall Street Journal Why Would Walmart Want to Buy an Insurer? The Retail Squeeze Wall Street Journal In recent years, Walmart has expanded the pharmacy and health services it offers in stores. Photo: Patrick Fallon/Bloomberg. By. Sarah Nassauer and. Sarah Nas…",https://www.wsj.com/articles/why-would-walmart-want-to-buy-an-insurer-the-retail-squeeze-1522412933
New York City's Sewage Shipment Runs Afoul in Rural South,Valerie Bauerlein,2018-03-30T09:30:20Z,The Wall Street Journal,"New York City is halting its yearlong practice of sending trainloads of treated human waste to Alabama, after weeks of legal challenges and complaints about a “death smell” coming from the containers, some of which had been left parked on tracks before being …",https://www.wsj.com/articles/new-york-citys-sewage-shipment-runs-afoul-in-rural-south-1522402201
